VIN (1-10),City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Electric Utility,Longitude,Latitude
5YJYGDEE6M,Spokane,WA,99208.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,104.84,33434.3,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,-117.40725,47.718625
1G1RD6S58H,Friday Harbor,WA,98250.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83127.0,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,-123.022255,48.531355
WBY8P8C55K,Bellingham,WA,98226.0,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126.0,38264.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.45493,48.76809
1G1RC6S5XG,Seattle,WA,98117.0,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83096.625,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.37275,47.68968
5YJSA1E5XP,Lacey,WA,98516.0,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,110.99,33950.0,PUGET SOUND ENERGY INC,-122.7474291,47.0821119
1N4AZ1CV2N,Issaquah,WA,98027.0,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,72.0,62114.25,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.03646,47.534065
1G1RA6S54H,Issaquah,WA,98027.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83106.75,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.03646,47.534065
WBY1Z4C55F,Lake Stevens,WA,98258.0,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72.0,62157.0,PUGET SOUND ENERGY INC,-122.112265,48.0047
5YJXCDE23J,Duvall,WA,98019.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,107164.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-121.9810747,47.7377962
5YJ3E1EA8L,Camas,WA,98607.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,59900.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.405565,45.59009
SADHD2S18K,Richland,WA,99354.0,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,234.0,106279.0,BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),-119.28753,46.29747
5YJ3E1EB4J,Seattle,WA,98116.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,88782.5,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),-122.38679,47.56484
1V2CMPE8XP,Shelton,WA,98584.0,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,111.0,33950.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,-123.105305,47.211085
1G1RC6S54G,Ridgefield,WA,98642.0,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,82466.45,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),-122.74291,45.818445
5YJXCAE21H,Edgewater,MD,21037.0,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200.0,66626.0,NON WASHINGTON STATE ELECTRIC UTILITY,-76.560315,38.9342
5YJ3E1EAXJ,Olympia,WA,98501.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,88782.5,PUGET SOUND ENERGY INC,-122.89692,47.043535
5YJSA1E46J,Everson,WA,98247.0,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249.0,98116.5,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,-122.3582814,48.9098139
7SAYGDEE5N,Arlington Heights,IL,60004.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,66.03,65957.55,NON WASHINGTON STATE ELECTRIC UTILITY,-87.98349,42.090145
1G1RA6S55J,Mercer Island,WA,98040.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,83086.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.2377542,47.582905
5YJ3E1EA5P,Bellevue,WA,98007.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,125.0,37904.5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),-122.147385,47.599975
